Census year,Construction year,Number of floors (above ground),Predominant space use,x,y,Latitude,longitude
2017,1882,2,Entertainment/Recreation - Indoor,144.9687,-37.7975,-37.79750606,144.9687069
2017,,1,House/Townhouse,144.9446,-37.7922,-37.79220431,144.9446363
2017,,1,House/Townhouse,144.9257,-37.7931,-37.79313064,144.9256601
2017,1887,3,Unoccupied - Unused,144.9667,-37.8112,-37.81121759,144.9667499
2017,,2,House/Townhouse,144.9193,-37.7956,-37.79564966,144.9193069
2017,1960,1,Retail - Shop,144.9111,-37.8038,-37.8038076,144.9110938
2017,,1,House/Townhouse,144.9793,-37.8345,-37.83448987,144.979285
2017,,3,House/Townhouse,144.9226,-37.7904,-37.79037689,144.9225621
2017,,1,House/Townhouse,144.9745,-37.796,-37.79597195,144.974507
2017,,1,Storage,144.9346,-37.8075,-37.80753474,144.9346254
2017,,1,House/Townhouse,144.9713,-37.7961,-37.79612474,144.9713437
2017,2013,3,House/Townhouse,144.9483,-37.8041,-37.80406679,144.9483201
2017,1901,2,Retail - Shop,144.9637,-37.8148,-37.81484256,144.9637421
2017,,3,Residential Apartment,144.9807,-37.8178,-37.8177818,144.9807332
2017,,2,House/Townhouse,144.9192,-37.7935,-37.79349484,144.9191741
2017,1910,1,House/Townhouse,144.931,-37.7982,-37.79819916,144.9309623
2017,,1,House/Townhouse,144.9492,-37.7979,-37.79790965,144.9492027
2017,,2,House/Townhouse,144.9854,-37.8128,-37.81275726,144.9854071
2017,,1,House/Townhouse,144.9294,-37.7959,-37.79586199,144.9294448
2017,1997,2,Workshop/Studio,144.9344,-37.7925,-37.79251212,144.9344069
2017,1878,2,Entertainment/Recreation - Indoor,144.9673,-37.8001,-37.80013983,144.9673328
2017,,1,House/Townhouse,144.9458,-37.8061,-37.80613374,144.9458375
2017,,2,House/Townhouse,144.9558,-37.8049,-37.80488558,144.9558116
2017,1994,6,Office,144.9665,-37.824,-37.8239921,144.9664946
2017,,1,House/Townhouse,144.9547,-37.8042,-37.80415481,144.9546643
2017,,1,House/Townhouse,144.9466,-37.8021,-37.80214307,144.9465983
2017,,1,House/Townhouse,144.9789,-37.8353,-37.83531449,144.9788507
2017,2005,26,Residential Apartment,144.9522,-37.814,-37.81395167,144.9521671
2017,1930,1,Manufacturing,144.9507,-37.8083,-37.80832627,144.9506821
2017,1957,13,Office,144.9607,-37.8169,-37.81692294,144.9606572
2017,1881,2,Entertainment/Recreation - Indoor,144.9488,-37.8043,-37.80430242,144.9488212
2017,,1,House/Townhouse,144.933,-37.796,-37.79596444,144.9330046
2017,1924,14,Residential Apartment,144.96,-37.8168,-37.81678801,144.9599978
2017,1900,1,House/Townhouse,144.9337,-37.7914,-37.79136437,144.9337051
2017,,2,House/Townhouse,144.9723,-37.7998,-37.79975777,144.9722555
2017,,2,House/Townhouse,144.9568,-37.7942,-37.79417268,144.9568125
2017,,2,House/Townhouse,144.9575,-37.7879,-37.7879253,144.9574523
2017,2000,3,Residential Apartment,144.9502,-37.8024,-37.80236202,144.950221
2017,2011,3,Residential Apartment,144.9804,-37.8369,-37.83690669,144.9804426
2017,2015,2,Storage,144.9088,-37.8239,-37.82392771,144.9087566
2017,,1,House/Townhouse,144.9486,-37.7968,-37.79682794,144.9485929
2017,2001,2,House/Townhouse,144.9182,-37.7959,-37.79593172,144.918178
2017,,2,House/Townhouse,144.9551,-37.7945,-37.79450186,144.9551168
2017,1950,2,House/Townhouse,144.9671,-37.8093,-37.80932086,144.9670856
