Census year,Property ID,Base property ID,Street address,CLUE small area,Construction year,Predominant space use,x coordinate,y coordinate
2014,111401,111401,1 Baulderstone Walk,Kensington,,Residential,144.9212,-37.7952
2014,100188,100188,44 Adams Street,South Yarra,,Residential,144.9778,-37.8358
2014,108774,108774,142 Simpson Street,East Melbourne,,Residential,144.9891,-37.8115
2014,102255,102255,59 The Crescent,Kensington,,Residential,144.9186,-37.7939
2014,103601,103601,189-195 Exhibition Street,Melbourne (CBD),1882,Public,144.9699,-37.8113
2014,104170,104170,96 Gatehouse Street,Parkville,1887,Residential,144.954,-37.7947
2014,100560,100560,1-5 Argyle Place East,Carlton,1971,Unoccupied - Under Renovation,144.9671,-37.8037
2014,100537,100537,36 Arden Street,North Melbourne,,Residential,144.951,-37.8008
2014,107602,107602,44 Pitt Street,Carlton,,Residential,144.9718,-37.7955
2014,106322,106322,501-503 Macaulay Road,Kensington,1900,Retail,144.9294,-37.7945
2014,578323,573333,2 Swanston Street,Melbourne (CBD),2002,Public,144.9705,-37.8178
2014,108968,108968,613-639 Little Collins Street,Melbourne (CBD),1973,Unoccupied,144.9544,-37.8182
2014,105449,105449,293-299 La Trobe Street,Melbourne (CBD),1929,Public,144.9605,-37.8108
2014,100312,100312,6 Albermarle Street,Kensington,,Residential,144.9335,-37.7963
2014,102782,102782,2-14 Drummond Street,Carlton,1890,Residential,144.9677,-37.8069
2014,101241,101241,43-61 Bouverie Street,Carlton,2012,Public,144.9613,-37.8052
2014,106965,106965,225 Nicholson Street,Carlton,,Residential,144.9751,-37.7947
2014,102999,102999,400-408 Dynon Road,West Melbourne (Industrial),1992,Commercial,144.9158,-37.8012
2014,103912,103912,21-25 Flinders Lane,Melbourne (CBD),1901,Commercial,144.9736,-37.8147
2014,108652,108652,583-597 St Kilda Road,Melbourne (Remainder),1860,Commercial,144.9819,-37.8497
2014,102686,102686,313-315 Drummond Street,Carlton,1889,Public,144.9685,-37.7984
2014,106063,106063,31 Little Palmerston Street,Carlton,,Residential,144.9696,-37.7967
2014,104634,104634,62 Hardiman Street,Kensington,,Residential,144.9341,-37.796
2014,108586,108586,166 Russell Street,Melbourne (CBD),1901,Retail,144.9682,-37.8123
2014,616125,616125,25-27 Rankins Road,Kensington,1950,Public,144.9322,-37.7893
2014,106677,106677,32 Milton Street,West Melbourne (Residential),,Residential,144.9539,-37.8078
2014,106810,106810,26-28 Munster Terrace,North Melbourne,1930,Residential,144.9426,-37.8033
2014,105506,105506,146-166 Laurens Street,North Melbourne,1962,Public,144.942,-37.8015
2014,598612,573403,100-108 Harbour Esplanade,Docklands,2005,Residential,144.9473,-37.8181
2014,108202,108202,415-421 Rathdowne Street,Carlton,1927,Residential,144.9704,-37.7965
2014,104514,104514,53-59 Grey Street,East Melbourne,,Residential,144.9875,-37.8124
2014,108970,108970,44-64 Spencer Street,Melbourne (CBD),1950,Commercial,144.9548,-37.8197
2014,110124,110124,470 William Street,West Melbourne (Residential),,Residential,144.9543,-37.8064
2014,104863,104863,1181-1191 Hoddle Street,East Melbourne,1965,Retail,144.9904,-37.813
2014,100920,100920,76 Bayswater Road,Kensington,,Residential,144.9226,-37.7938
2014,615397,615397,47 Robertson Street,Kensington,1900,Residential,144.934,-37.7929
2014,106457,106457,50-56 Marne Street,South Yarra,1950,Residential,144.9845,-37.8352
2014,101540,101540,182-194 Capel Street,North Melbourne,1990,Commercial,144.9559,-37.8032
2014,595012,595012,54-62 Bateman Road,Kensington,2008,Residential,144.9174,-37.7955
2014,106217,106217,292 Lygon Street,Carlton,1878,Public,144.9673,-37.8001
2014,616012,616012,18 Pridham Street,Kensington,1900,Residential,144.9306,-37.7892
2014,616020,616020,476 Macaulay Road,Kensington,1910,Retail,144.9301,-37.7943
2014,100128,100128,166-168 Abbotsford Street,North Melbourne,1920,Commercial,144.9457,-37.8035
2014,110077,110077,98 Westbourne Road,Kensington,,Residential,144.9215,-37.7934
2014,101448,101448,203-205 Canning Street,Carlton,,Residential,144.9733,-37.7938
2014,104493,104493,20 Greenham Place,Kensington,,Residential,144.9207,-37.7918
2014,108234,108234,166 Rathdowne Street,Carlton,1875,Public,144.9711,-37.7954
2014,106499,106499,28 Mason Street,South Yarra,,Residential,144.981,-37.8369
2014,103213,103213,347 Elizabeth Street,Melbourne (CBD),1923,Commercial,144.9612,-37.8107
2014,108130,108130,14 Raglan Street,North Melbourne,1910,Public,144.9501,-37.8042
2014,100027,100027,223 Abbotsford Street,North Melbourne,1980,Commercial,144.9453,-37.802
2014,107219,107219,74-76 Palmerston Street,Carlton,,Residential,144.9725,-37.7963
2014,532584,532584,882 Swanston Street,Carlton,,Residential,144.9651,-37.7958
2014,102648,102648,147 Drummond Street,Carlton,1870,Residential,144.9677,-37.8031
2014,108506,108506,381-405 Royal Parade,Parkville,1960,Public,144.9587,-37.784
2014,107411,107411,46-48 Park Street,South Yarra,,Residential,144.9823,-37.8366
2014,608618,608618,57 Strickland Road,Parkville,2006,Residential,144.9408,-37.7759
2014,104140,104140,174 Gatehouse Street,Parkville,,Residential,144.9558,-37.7933
2014,632885,632885,17 Augusta Avenue,Docklands,2011,Residential,144.9374,-37.8161
2014,104628,104628,74 Hardiman Street,Kensington,,Residential,144.9344,-37.796
2014,107567,107567,26 Peppercorn Walk,Kensington,,Residential,144.9223,-37.7923
2014,108615,108615,Alexandra Avenue,Melbourne (Remainder),1854,Public,144.9736,-37.8274
2014,107137,107137,9-15 Palmer Street,East Melbourne,,Residential,144.9807,-37.8178
2014,101693,101693,156-164 Cardigan Street,Carlton,1923,Public,144.9656,-37.8013
2014,106752,106752,43 Morrah Street,Parkville,,Residential,144.9561,-37.7959
2014,105594,105594,76 Leopold Street,South Yarra,1870,Residential,144.9832,-37.8361
2014,104302,104302,2-14 George Street,East Melbourne,,Residential,144.99,-37.8156
2014,102673,102673,207-221 Drummond Street,Carlton,1990,Commercial,144.968,-37.8012
2014,107799,107799,561-563 Punt Road,South Yarra,,Residential,144.9855,-37.842
2014,104063,104063,Footscray Road,West Melbourne (Industrial),,Commercial,144.9346,-37.8075
2014,101825,101825,85-87 Chapman Street,North Melbourne,,Residential,144.9475,-37.796
2014,103617,103617,355-357 Exhibition Street,Melbourne (CBD),1886,Commercial,144.9682,-37.8075
2014,616905,616905,83 McConnell Street,Kensington,1900,Residential,144.9291,-37.7928
2014,101873,101873,3 Charles Street,Carlton,,Residential,144.9724,-37.7947
2014,101848,101848,76-78 Chapman Street,North Melbourne,,Commercial,144.9479,-37.7953
2014,608443,608443,5 Carrangall Place,Parkville,2006,Residential,144.941,-37.78
2014,102535,102535,37-45 Domain Street,South Yarra,,Residential,144.978,-37.8364
2014,101687,101683,224 Cardigan Street,Carlton,1980,Residential,144.966,-37.7997
